name,cuisines,area,timing,full_address,ishomedelivery,istakeaway,isindoorseating,isvegonly,dinner_ratings,dinner_reviews,delivery_ratings,delivery_reviews,knownfor,populardishes,peopleknownfor,averagecost
M.M.A Kabab and Rolls,"north indian, mughlai, chinese, kebab, rolls, seafood, arabian, biryani","Old Madras Road, Bangalore",11am – 3am (Today),"Opposite Indiranagar Bus Depot, Old Madras Road, Bangalore",1,1,1,0,2.7,114,3.7,5348,,,,500
Ayodhya Vihar Pure Veg,"north indian, chinese, south indian, beverages, desserts, juices, ice cream, shake","Jeevan Bhima Nagar, Bangalore",7am – 10pm (Today),"1652, 10 Main Road, Jeevan Bhima Nagar, Bangalore",1,1,1,1,3.4,36,4.1,4607,,,"Hygiene, Fresh Food, Good Quality, Service",450
Red Kitchen,"north indian, andhra, chinese, seafood, mughlai, biryani","Jeevan Bhima Nagar, Bangalore","12midnight – 1am, 11am – 12midnight (Today)","9, 10 Main Road, 3 Stage, Kodihalli, Jeevan Bhima Nagar, Bangalore",1,1,1,0,3.1,114,3.4,7398,,,"Food Quantity, Good Taste, Price, Good Food",350
Nandhana Palace,"biryani, andhra, north indian, chinese, mughlai, south indian, desserts, beverages","Indiranagar, Bangalore",Opens at 6:30pm,"4034, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",1,1,1,0,4.3,1417,4.1,6051,,"Drumstick Soup, Bamboo Chicken, Fish Tawa Fry, Fried Rice Chicken, Plain Rice, Lemon Chicken","Everything was very Good, Amazing Food at Amazing Price, Amazing Vibe, Good Service Good Quality, Ample Seating Area, Family Place",800
A2B - Adyar Ananda Bhavan,"south indian, fast food, street food, ice cream, beverages, north indian, chinese","Indiranagar, Bangalore",7am – 10:30pm (Today),"12, CMH Road, Shantinagara, Indiranagar, Bangalore",1,1,1,0,2.8,610,3.9,3851,,"Filtered Coffee, Kesari Bath, Chutneys, Pav Bhaji, Idli, Sweets","Cleanliness, Breakfast, Management, Location, Prices, Good Taste",800
Nandhini Deluxe,"andhra, biryani, chinese, north indian, mughlai, desserts, beverages","Frazer Town, Bangalore",11am – 11:30pm (Today),"63, Coles Road, Frazer Town, Bangalore",1,1,1,0,3.8,459,4.0,4988,,"Nati Chicken Biryani, Andhra Chicken, Chicken Guntur, Murgh Ghee Roast, Chicken 65, Chilli Chicken","Faster Food Service, Extensive Bar Menu, Gastronomical Experience, Ample Seating Area, Nice Packing, Relaxed Atmosphere",700
Dindigul Thalappakatti,"biryani, north indian, south indian, chinese, beverages","Indiranagar, Bangalore",11am – 11pm (Today),"First Floor, 2021, Salapuria Palladium, 100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",1,1,1,0,4.2,722,3.8,5687,,"Mutton Varuval, Liver Fry, Mutton Sukka, Mutton Pepper, Pepper Chicken, Biryani Rice","Service and Quality of Food, Gastronomical Experience, Ample Seating Area, Packed on Weekends, Amazing Service, Family Crowd",400
Kritunga Restaurant,"andhra, biryani, north indian","Marathahalli, Bangalore",Opens at 6:30pm,"88, Munnekolala Village, Varthur Hobli, Mahadevpura, Marathahalli, Bangalore",1,1,1,0,4.0,1699,3.8,19000,their chicken biriyanis,"Natukodi Pulusu, Bamboo Chicken, Hyderabadi Chicken Curry, Ragi Mudde, Spicy Food, Briyani","Family Place, Delivery Time, Nice Taste, Good Quantity, Tasty, Nice Food",800
Donne Biriyani House,"biryani, fast food","Shanti Nagar, Bangalore",Opens at 6:30pm,"119/1, 119/2, 4th Cross, Lalbagh Road, Shanti Nagar, Bangalore",1,1,1,0,3.4,7,3.9,925,,,,400
Kabab Magic,"north indian, kebab, hyderabadi, beverages","Richmond Road, Bangalore",12:30pm – 11:30pm (Today),"17, Richmond Road, Bangalore",1,1,1,0,3.8,139,3.3,2743,,,,400
Polar Bear,"ice cream, beverages, shake","Thippasandra, Bangalore",11am – 1am (Today),"621/B, Unit 1, Ground Floor, 12 Main Indiranagar HAL, Stage 2, Thippasandra, Bangalore",1,1,1,0,3.7,43,4.3,970,,,"Fresh Food, Good Place, Good Quality, Packaging, Quantity, Service",350
Biriyani Zone,"biryani, north indian, chinese, mughlai, kebab, seafood, ice cream, beverages","CV Raman Nagar, Bangalore",Opens at 6:30pm,"48/2A, 1st Cross, Amrutha Court, Opposite Hayagreeva School, Vignan Nagar, CV Raman Nagar, Bangalore",1,1,1,0,3.6,67,4.0,2559,,,"Fusion Dishes, Relaxed Atmosphere, Food Presentation, Spicy, Packaging, Quantity",800
Paradise Biryani,"biryani, north indian, kebab","HSR, Bangalore",11am – 11pm (Today),"438, Sector 4, HSR Layout, Near HSR, Bangalore",1,1,1,0,3.7,326,3.8,4583,,,"Good Service Good Quality, Service is Great, Weekend Brunch, Hygiene, Good Music, Portion Size",700
Hyderabad Biryaani House,"biryani, north indian, hyderabadi, mughlai, chinese","Old Airport Road, Bangalore",11:30am – 11pm (Today),"25, 1st Floor, NR Chambers, Murgeshpalya, Old Airport Road, Bangalore",1,1,1,0,4.2,1416,4.0,25100,Their Mutton Biryani,"Authentic Hyderabadi Biryani, Chicken Dum Biryani, Egg Biryani, Mutton Biriyani, Spicy Food, Kebabs","Authenticity, Quick Delivery, Good Quantity, Preparation, Quick Service, Reasonable Price",500
Anand Sweets And Savouries,"mithai, street food, desserts, beverages","Old Airport Road, Bangalore",10am – 9:30pm (Today),"7, Anjaneya Complex, Kodihalli, Old Airport Road, Bangalore",1,1,1,0,4.0,277,4.4,3068,,"Kaju Katli, Mysore Pak, Dahi Puri, Rasmalai, Jalebi, Sweets","Hygiene, Best Place, Spicy, Good Place",300
Subway,"healthy food, fast food, sandwich, salad, beverages, wraps","Indiranagar, Bangalore",10:30am – 10:20pm (Today),"3, 1st Main, 2nd Stage, Off Double Road, Indiranagar, Bangalore",1,1,1,0,2.0,311,3.6,1741,,,"Unlimited Refills, Chirpy Crowd, Economical, Cozy Ambiance, Inexpensive, Great Recommendations",400
Sri Udupi Food Hub,"south indian, north indian, chinese, street food, ice cream, desserts, shake, beverages","Domlur, Bangalore",,"PID 72-9-226, 226, 2nd Stage, 2nd Phase, Domlur, Bangalore",1,1,1,1,3.7,151,3.9,16200,,,"Relaxed Atmosphere, Ambiance, Value for Money, Service",800
Corner House Ice Creams,"desserts, ice cream, beverages","Indiranagar, Bangalore",11am – 11:30pm (Today),"3283, 2nd Stage, Off Double Road, Indiranagar, Bangalore",1,1,1,0,4.8,2408,4.5,16100,,"Thick Chocolate Shake, Brown Bomb, Cashew Fudge, Almond Fudge, Choco Bomb, Brownie Fudge Sundae","Totally Worth it, Big Menu, Pocket Friendly, Authenticity, Favorite Place, Best Places",300
Sharief Bhai,"mughlai, arabian, afghan, biryani, kebab, street food, beverages","Indiranagar, Bangalore",11:30am – 12midnight (Today),"220, 13th Cross, 2nd Stage, Indiranagar, Bangalore",1,1,1,0,3.9,159,3.9,5537,,,"Boneless Chicken Biryani, Family Crowd, Elaborate Menu, Hygiene, Customizable Food, Fresh Food",800
Beijing Bites,"chinese, thai, seafood, healthy food","Indiranagar, Bangalore",Opens at 7pm,"537/2, Binnamangala 1st Stage, Ward 82, Sarvagna Nagar, Indiranagar, Bangalore",1,1,1,0,3.2,22,4.0,456,,,"Fresh Food, Price, Value for Money, Packaging, Experience",800
Imperial Restaurant,"mughlai, north indian, biryani, chinese, seafood, ice cream, desserts, beverages","Indiranagar, Bangalore",10am – 1am (Today),"1324, 2nd Stage, Double Road, Opposite Cauvery School, Indiranagar, Bangalore",1,1,1,0,3.8,313,3.9,6489,,"Grill Chicken, Shawarma, Butter Chicken, Tandoori Chicken, Curry","Waiter, Prices, Good Food, Good Place, Quality, Ambience",700
Al Daaz,"north indian, continental, bbq, fast food, beverages","HSR, Bangalore",12noon – 1am (Today),"64 & 65, 27th Main Road, Sector 1, Near Police Station, HSR, Bangalore",1,1,1,0,4.2,1523,4.3,63500,,"Fried Chicken Meal, Cheesy Chicken Pasta, Spicy Wings, Green Apple Mojito, Chicken Strips, Bbq Chicken","Quantity for Money, Portion Size is Big, Family Favorite, Quantity and Quality of Food, Superb Quality, Ample Seating Area",800
New Udupi Grand,"south indian, north indian, chinese, street food, beverages, shake","Jeevan Bhima Nagar, Bangalore",7am – 10:20pm (Today),"L 14, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",1,1,1,0,2.9,12,3.9,3184,,,,300
Anjappar,"chettinad, biryani, chinese, seafood, south indian, mughlai, north indian, desserts","Indiranagar, Bangalore",11:30am – 11:30pm (Today),"54, Defence Colony, Hal 2nd Stage, Shanthinagara, Indiranagar, Bangalore",1,1,1,0,3.9,852,3.9,2759,Spicy Chicken Starters,"Tender Coconut Payasam, Crab Roast, Chicken Varuval, Chettinad Chicken, Spicy Food, Mutton Biryani","Authentic Food, Parking Space, Quick Service, Decent Place, Perfect Presentation, Management",800
Barbeque Nation,"bbq, mughlai, biryani, north indian, desserts, beverages","Indiranagar, Bangalore",11:30am – 11pm (Today),"4005, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",1,1,1,0,4.6,12900,3.6,1911,An indoor barbecue concept venue offering a 'Do-It-Yourself' grilling experience at every table,"Chocolate Brownie Devastation, Vanilla Kulfi, Kulfi Rabri Faluda, Pineapple Kesari, Chocolate Sprinkles, Fish Tikka Basa","Food and Hospitality Amazing, Great Place to Eat, Service is Decent, Service was Amazing, Variety of Selection, Everything was very Good",1600
Hari Super Sandwich,"fast food, sandwich, street food","Brigade Road, Bangalore",10:30am – 10pm (Today),"17, Saint Patric Complex, Brigade Road, Bangalore",1,1,1,1,3.2,13,3.6,859,,,,200
Kapoor's Cafe,"north indian, beverages, desserts","Kalyan Nagar, Bangalore",9am – 11pm (Today),"7M-215, 2nd Block, 7th Main Road, 80 Feet Road, HRBR Layout, Kalyan Nagar, Bangalore",1,1,1,0,4.2,731,3.9,3021,,"Kulhad Lassi, Aloo Pyaaz Paratha, Paneer Parantha, Dry Fruit Lassi, Authentic Punjabi Food, Chaas","Pure Veg, Rooftop Ambience, Comfortable Seating Area, Combos, Packed on Weekends, Seating Arrangement",700
La Pino'z Pizza,"pizza, fast food","Indiranagar, Bangalore",11am – 11pm (Today),"Shop 2, Survey 3047, 80 Feet Road, Indiranagar, Bangalore",1,1,1,0,3.7,2,4.1,100,,,,500
California Burrito,"mexican, fast food, beverages, desserts","Indiranagar, Bangalore",11am – 1am (Today),"23, Ground Floor Sri Avenue 3rd B Cross, 60 Feet Service Road, Domlur 2nd Stage Extension, Indiranagar, Bangalore",1,1,1,0,4.1,411,4.2,6910,,"Nimbu Pani, Chicken Quesadilla, Burrito, Guacamole, Bbq Chicken, Tacos","Low Price, Prompt Service, Great Ambiance, Concept, Portion Size, Decent Place",500
Glen's Bakehouse,"bakery, italian, pizza, sandwich, street food, desserts, beverages","Indiranagar, Bangalore",9am – 12midnight (Today),"297, 100 Feet Road, Indiranagar, Bangalore",1,1,1,0,4.2,5867,4.1,7550,wide variety of desserts,"Red Velvet Chocolate Cupcake, Citrus Chicken, Frozen Mud Pie, Signature Coffee, Banana Pie, Chicken Pot Pie","Elegant Decor, Warm Ambience, Cute Ambience, Beautiful Cafe, Outside Seating, Pretty Place",400
Royal Restaurant,"north indian, chinese","Shivajinagar, Bangalore",8am – 6am (Today),"6, HKP Road, Broadway Road, Shivajinagar, Bangalore",1,1,1,0,4.0,220,4.0,19200,,"Mutton Briyani, Chilli Chicken, Ghee Rice, Fried Rice","Delivery Person, Weekend Brunch, Best Food, Good Quantity, Elaborate Menu, Young Crowd",200
New Krishna Sagar,"south indian, north indian, chinese, beverages","Indiranagar, Bangalore",7am – 10:30pm (Today),"7/1, 80 Feet Road, Michael Palya, Indiranagar, Bangalore",1,1,1,1,3.5,80,3.5,8983,,,,350
Ambur Star Briyani Since 1890,"biryani, andhra, chinese, beverages","Indiranagar, Bangalore",11am – 11pm (Today),"194, Akruti Chambers, 1st Floor, Link Road 4, Stage 2, Hoysala Nagar, Indiranagar, Bangalore",1,1,1,0,3.2,88,4.3,4210,,,"Excellent Taste, Spicy, Quality, Price, Ambience",700
Goli Vada Pav,"street food, fast food, burger, ice cream, desserts","Thippasandra, Bangalore",10am – 10:30pm (Today),"21, Ground Floor, BEML Main Road, Thippasandra, Bangalore",1,1,0,0,3.1,1,3.4,65,,,,350
Meat And Eat,"burger, fast food, desserts, beverages, bbq, sandwich, finger food","Domlur, Bangalore",11am – 3am (Today),"19, 1st Cross, HAL, Domlur, Bangalore",1,1,1,0,3.3,75,3.8,2009,,,,400
Adiga's,"south indian, north indian, chinese, street food, desserts, ice cream, beverages","Indiranagar, Bangalore",7am – 11pm (Today),"845/B, Ground Floor, Double Road, Binnamangala, 1st Stage, Near Jockey Show Room, Indiranagar, Bangalore",1,1,1,1,2.8,351,3.9,5088,,,"Breakfast, Quick Service, Tasty, Location, Great Place, Good Place",800
Rahhams,"biryani, mughlai, north indian, kebab, chinese, seafood, rolls, beverages","Old Airport Road, Bangalore",12:30pm – 11pm (Today),"1, Medison Complex, Kodihalli, Near Leela Palace, Old Airport Road, Bangalore",1,1,1,0,2.4,437,3.6,1603,their variety of biryanis,,,700
Ambur Biryani Point,"biryani, fast food","Koramangala 1st Block, Bangalore",11am – 11pm (Today),"303, 1st Main, 1st Block, Jakkasandra, Koramangala 1st Block, Bangalore",1,1,1,0,3.3,18,4.3,17500,,,"Economical, Timely Service, Worth the Money, Good Taste, Delicious Food, Great Portions",200
Smoor,"desserts, cafe, pizza, asian, thai, italian, beverages, shake","Indiranagar, Bangalore",8am – 12midnight (Today),"1131, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",1,1,1,0,4.6,2129,4.3,4721,,"Chocolate Marquise, Honey Nut Crunch, Cajun Fries, Ice Cream Strawberry, Egg Benedict, Gooey Chocolate","Elegant Decor, Classy Place, Dessert Menu, Great Atmosphere, Breakfast Menu, Great Location",900
Krispy Kreme,"desserts, beverages","Indiranagar, Bangalore",10am – 11pm (Today),"788, 12th Main, HAL, Stage 2, Off 100 Feet Road, Near Sony Centre, Indiranagar, Bangalore",1,0,1,1,3.9,310,4.2,1918,,,"Friendly Staff, Location, Ambiance, Quantity",400
Savoury Express,"mughlai, north indian, fast food, chinese, desserts, beverages, shake","Jeevan Bhima Nagar, Bangalore",12noon – 1am (Today),"1, Main Road, Jeevan Bhima Nagar, Bangalore",1,1,1,0,2.9,69,3.8,4562,,,,800
Pathaan Sir,"fast food, momos, rolls, kebab, juices","Indiranagar, Bangalore",2pm – 1am (Today),"621/B, 12th Main, HAL 2nd Stage, Indiranagar, Bangalore",1,1,1,0,2.8,265,4.0,12900,,"Double Chicken Tikka Roll, Chicken Manchurian Roll, Jumbo Roll, Cheese Roll, Fries","Worth the Price, Economical, Wonderful Presentation, Prompt Service, Best Food, Contactless Delivery",300
Biryani By Kilo,"biryani, mughlai, kebab, hyderabadi","Koramangala 6th Block, Bangalore",10am – 11pm (Today),"504, 1st Floor, 6th Cross, Club Road, Koramangala 6th Block, Bangalore",1,1,1,0,4.0,169,4.1,1461,,"Matka Phirni, Chicken Ghee Roast, Chicken 65, Veg Biryani, Briyani, Kebabs","Amazing Interiors, Awesome Spot to Hangout, Cheap and Affordable, Fantastic Decoration, Concept, Authentic Taste",700
Shanthi Sagar,"south indian, north indian, chinese, beverages, desserts, shake","Ulsoor, Bangalore",7am – 10pm (Today),"9/1, Tank Road, Ulsoor, Bangalore",1,1,1,1,3.8,207,4.2,19100,,,"Good Taste, Worth the Money, Prices, Good Food",250
New Udupi Garden,"south indian, north indian, beverages, chinese","Old Airport Road, Bangalore",7am – 11pm (Today),"9, Ground Floor, Wind Tunnel Road, Murugeshpalaya, Old Airport Road, Bangalore",1,1,1,1,3.5,58,3.9,6603,,,,350
Chulha Chauki Da Dhaba,"north indian, biryani, chinese, beverages","Marathahalli, Bangalore","12noon – 3:30pm, 6:30pm – 10:30pm (Today)","2nd Floor, Mahadevapura, Outer Ring Road, Opposite EMC 2, Marathahalli, Bangalore",1,1,1,0,4.5,2982,4.0,5034,,"Paneer Lasuniya, Makhmali Paneer Tikka, Paneer Mushroom Masala, Sawariya Chicken, Punjabi Chicken Curry, Salted Lassi","Hospitality was Amazing, Dhaba Feel, Dhaba Ambience, Good Food and Good Ambience, Ambience and Service, Supportive Staff",1000
Asha Sweet Center,"mithai, street food","Indiranagar, Bangalore",9am – 9pm (Today),"6, Ground Floor, Binnamangala 1st Stage, CMH Road, Indiranagar, Bangalore",1,1,1,1,2.3,5,4.4,1071,,,,400
Chai Point,"tea, north indian, fast food, street food, beverages","Indiranagar, Bangalore",7am – 12midnight (Today),"House 496, Salarpuria, Binnamangala 1st Stage Extension, Indiranagar, Bangalore",1,1,1,0,2.4,8,3.9,371,,,,400
Sattvam,"north indian, south indian","Whitefield, Bangalore",Opens at 7pm,"138/139, 3rd Floor, Opposite Decathlon, Garudacharapalya, Mahadevpura, Whitefield, Bangalore",1,1,1,1,4.3,402,4.0,394,,"Buffet, Deserts, Starters, Pasta","Jain Food Options, Great Buffet Spread, Variety of Veg Options, Ample Seating Area, Good for Large Groups, Relaxed Atmosphere",1500
Starbucks Coffee,"coffee, desserts, beverages","Indiranagar, Bangalore",8am – 11pm (Today),"2013, Ground Floor, Samrat Building, 100 Feet Road, Indiranagar, Bangalore",1,1,1,0,4.3,662,4.2,417,,"Dark Mocha, White Chocolate Mocha, Latte, Coffees, Sandwiches, Drink","Free Wifi, Great Location, Calm, Vibe, Cafe, Perfect Place",600
Madurai Idly Shop,"south indian, chinese","Indiranagar, Bangalore",7am – 11pm (Today),"3048, 80 Feet Road, CV Raman Road, HAL 2nd Stage, Tippasandra, Indiranagar, Bangalore",1,1,1,1,3.7,826,4.0,2471,Authentic South Indian cuisine,"Mini Idlis, Sambhar, Chutneys, Filter Coffee, Masala Dosa, Tea","Breakfast, Great Value, Friendly Place, Reasonable Prices, Prompt Service, Decent Place",300
Samosa Party,"fast food, beverages, burger, tea","Jeevan Bhima Nagar, Bangalore",9am – 10pm (Today),"11, H A L 3 Stage, 10 Main Road, Jeevan Bhima Nagar, Bangalore",1,1,1,0,4.1,385,4.1,3967,,"Punjabi Samosa, Indori Poha, Cheese Samosa, Ginger Tea, Chai, Snacks","Cozy Ambiance, Great Recommendations, Good Value, Polite Staff, Reasonable Prices, Concept",200
Delicacy,"chinese, thai","Frazer Town, Bangalore",11:30am – 11pm (Today),"Kenchappa Road Cross, Frazer Town, Bangalore",1,1,1,0,3.8,270,4.0,7822,being the pocket friendly chinese option in Bangalore,"Egg Fried Rice, Momos, Chilli Chicken, Starters","Quick Delivery, Portion, Good Taste, Quantity, Main Course, Prices",500
Rolls On Wheels,"rolls, chinese, north indian","Indiranagar, Bangalore",11am – 11pm (Today),"3145, HAL, 2nd Stage, Opposite ESI Hospital, Indiranagar, Bangalore",1,1,1,0,3.0,85,4.2,1528,,,,300
Laddoos,"mithai, north indian, beverages, fast food, street food, desserts","Jeevan Bhima Nagar, Bangalore",9:30am – 10:30pm (Today),"J B Nagar Main Road, HAL 3 Stage, Jeevan Bhima Nagar, Bangalore",1,1,1,1,2.9,202,3.9,3338,,"Samosa, Chaat, Sweets, Paratha",,300
The Hangout,"pizza, burger, fast food, sandwich, rolls","MG Road, Bangalore",11:30am – 11pm (Today),"8, Ashley Park Road, MG Road, Bangalore",1,1,1,0,3.0,1,2.9,45,,,,300
Magnolia Bakery,"bakery, desserts","Indiranagar, Bangalore",10am – 12:30am (Today),"788, JK Plaza, 12th Main Road, Indiranagar, Bangalore",1,1,1,0,4.2,852,4.4,3391,,"Key Lime Pie, Red Velvet Cheesecake, Carrot Cake, Cheese Cakes, Cookie, Cheesecake","Elaborate Menu, Good Wifi, Hygiene, Young Crowd, Student Crowd, Fresh Food",300
RS Shiv Sagar,"north indian, south indian, asian, continental, chinese, desserts","MG Road, Bangalore",9:30am – 10:30pm (Today),"36, First Floor, Public Utility Building, MG Road, Bangalore",1,1,1,0,4.1,340,3.7,515,,"Papad, Pav Bhaji, Chutney, Starters, Biryani","View, Decor, Manager, Breakfast, Food Taste, Perfect Place",500
IDC Kitchen ,south indian,"Indiranagar, Bangalore",7am – 10:30pm (Today),"134, Media Domain, Double Road, 2nd Stage, Indiranagar, Bangalore",1,1,1,0,3.5,11,4.0,327,,,,200
